categories_slug,name,description,short_description,sku,price,special_price,special_price_from,special_price_to,inventory_sources,inventories,weight,meta_title,meta_keywords,meta_description,color,size,url_key,tax_category_id,new,featured,visible_individually,status,cost,width,height,depth,type,attribute_family_name,images,guest_checkout,diet,stocklimit
165,"Dark Sponge Flour - perKG,دقيق اسبونج بني بالوزن","Dark Sponge Flour - perKG,دقيق اسبونج بني بالوزن","Dark Sponge Flour - perKG,دقيق اسبونج بني بالوزن",11018,100,,,,"HUR,QEN","100,100",1,,,,,,دقيق-اسبونج-بني-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11018.png,0,0,0
165,"Whipped Topping - Raw  - perKG,كريم شانتية خام بالوزن","Whipped Topping - Raw  - perKG,كريم شانتية خام بالوزن","Whipped Topping - Raw  - perKG,كريم شانتية خام بالوزن",11019,100,,,,"HUR,QEN","100,100",1,,,,,,كريم-شانتية-خام-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11019.png,0,0,0
165,"Gelatine Powder  - perKG,جيلاتينة بودرة بالوزن","Gelatine Powder  - perKG,جيلاتينة بودرة بالوزن","Gelatine Powder  - perKG,جيلاتينة بودرة بالوزن",11020,100,,,,"HUR,QEN","100,100",1,,,,,,جيلاتينة-بودرة-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11020.png,0,0,0
165,"ButterMilk Blend  - perKG,محسن خبز بالوزن","ButterMilk Blend  - perKG,محسن خبز بالوزن","ButterMilk Blend  - perKG,محسن خبز بالوزن",11021,100,,,,"HUR,QEN","100,100",1,,,,,,محسن-خبز-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11021.png,0,0,0
165,"Candied Fruits   - perKG,فواكة مسكرة بالوزن","Candied Fruits   - perKG,فواكة مسكرة بالوزن","Candied Fruits   - perKG,فواكة مسكرة بالوزن",11022,100,,,,"HUR,QEN","100,100",1,,,,,,فواكة-مسكرة-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11022.png,0,0,0
165,"crème pâtissière  - perKG,كريم باتسيري بالوزن","crème pâtissière  - perKG,كريم باتسيري بالوزن","crème pâtissière  - perKG,كريم باتسيري بالوزن",11023,100,,,,"HUR,QEN","100,100",1,,,,,,كريم-باتسيري-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11023.png,0,0,0
165,"Liquid ButterMilk Blend  - perKG,محسن كيك سائل بالوزن","Liquid ButterMilk Blend  - perKG,محسن كيك سائل بالوزن","Liquid ButterMilk Blend  - perKG,محسن كيك سائل بالوزن",11024,100,,,,"HUR,QEN","100,100",1,,,,,,محسن-كيك-سائل-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11024.png,0,0,0
165,"Blue FoodColor Blend  - perKG,ملبن مخصوص ولديدة بالوزن","Blue FoodColor Blend  - perKG,ملبن مخصوص ولديدة بالوزن","Blue FoodColor Blend  - perKG,ملبن مخصوص ولديدة بالوزن",11025,100,,,,"HUR,QEN","100,100",1,,,,,,ملبن-مخصوص-ولديدة-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11025.png,0,0,0
165,"Ammonia  - perKG,نشادر بالوزن","Ammonia  - perKG,نشادر بالوزن","Ammonia  - perKG,نشادر بالوزن",11026,100,,,,"HUR,QEN","100,100",1,,,,,,نشادر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11026.png,0,0,0
165,"Sausage Spices   - perKG,جامي توفي بالوزن","Sausage Spices   - perKG,جامي توفي بالوزن","Sausage Spices   - perKG,جامي توفي بالوزن",11027,100,,,,"HUR,QEN","100,100",1,,,,,,جامي-توفي-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11027.png,0,0,0
